name,dates,base,base_primary,country,region,type,anno,anno_refit,service,length_ft,cabins,berths,wc,price_eur,original_price_eur,discount,deposit_eur,yacht_id
Sun Odyssey 40.3 (AF-SO40.3),13.06.2026 - 20.06.2026,"Lefkada / Port of Lefkas, Grecia","Lefkada / Port of Lefkas, Grecia",Greece,Ionian,Barca a vela,2002,,Bareboat,40.0,3,6,2,1235.0,,,2500.0,7205848660000101802
Sun Odyssey 40.3 (Evina),13.06.2026 - 20.06.2026,"Lefkada / Port of Lefkas, Grecia","Lefkada / Port of Lefkas, Grecia",Greece,Ionian,Barca a vela,2002,,Bareboat,40.0,3,6,2,1275.0,1500.0,"- 15,00 %",2500.0,5547529140000104121
Sun Odyssey 37 (Lina),13.06.2026 - 20.06.2026,"Corfu / Gouvia / D-Marin Marina Gouvia, Grecia","Corfu / Gouvia / D-Marin Marina Gouvia, Grecia",Greece,Ionian,Barca a vela,2001,,Bareboat,37.0,3,6 (6+2) Licensed for 8,1,1360.0,1600.0,"- 15,00 %",1500.0,5651711058900892
Oceanis 331 (Martha),13.06.2026 - 20.06.2026,"Lefkada / D-Marin Marina Lefkas, Grecia","Lefkada / D-Marin Marina Lefkas, Grecia",Greece,Ionian,Barca a vela,2004,2022,Bareboat,34.0,3,6,1,1435.0,1750.0,"- 18,00 %",1500.0,2917458710000103622
Oceanis 34 (Nikoleta),13.06.2026 - 20.06.2026,"Lefkada / Nydri Port, Grecia","Lefkada / Nydri Port, Grecia",Greece,Ionian,Barca a vela,2004,2001,Bareboat,34.0,3,8,1,1480.0,,,1500.0,3229201317204840
Sun Odyssey 35 (Steropi),13.06.2026 - 20.06.2026,"Corfu / Gouvia / D-Marin Marina Gouvia, Grecia","Corfu / Gouvia / D-Marin Marina Gouvia, Grecia",Greece,Ionian,Barca a vela,2003,,Bareboat,35.0,3,8 (6+2),1,1520.0,,,1500.0,6177746910000107291
Bavaria 33 Cruiser (Konstantinos),13.06.2026 - 20.06.2026,"Lefkada / D-Marin Marina Lefkas, Grecia","Lefkada / D-Marin Marina Lefkas, Grecia",Greece,Ionian,Barca a vela,2006,,Bareboat,34.0,2,6,1,1530.0,1700.0,"- 10,00 %",2000.0,13095951493802973
Oceanis 31 (TRIZONIA ),13.06.2026 - 20.06.2026,"Lefkada / Port of Lefkas, Grecia","Lefkada / Port of Lefkas, Grecia",Greece,Ionian,Barca a vela,2009,,Bareboat,31.0,2,6,1,1600.0,,,1500.0,2157940603302458
Bavaria 32 (Theodor Storm),13.06.2026 - 20.06.2026,"Corfu / Gouvia / D-Marin Marina Gouvia, Grecia","Corfu / Gouvia / D-Marin Marina Gouvia, Grecia",Greece,Ionian,Barca a vela,1997,,Bareboat,34.0,2,6,1,1600.0,,,1500.0,6177988570000107291
Bavaria 39 Cruiser (Planis),13.06.2026 - 20.06.2026,"Kefalonia / Sami Port, Grecia","Kefalonia / Sami Port, Grecia",Greece,Ionian,Barca a vela,2006,,Bareboat,39.0,3,6,2,1615.0,1700.0,"- 5,00 %",2500.0,1505245880000103224
Sun Odyssey 36i (Formica),13.06.2026 - 20.06.2026,"Preveza Main Port, Grecia","Preveza Main Port, Grecia",Greece,Ionian,Barca a vela,2008,2023,Bareboat,36.0,3,8 (6+2),1,1615.0,1900.0,"- 15,00 %",1500.0,934822550000102266
Bavaria 44 (Giannis),13.06.2026 - 20.06.2026,"Lefkada / Nydri Port, Grecia","Lefkada / Nydri Port, Grecia",Greece,Ionian,Barca a vela,2004,,Bareboat,45.0,4,10,2,1680.0,,,1500.0,3351957180000104840
Bavaria 36 Cruiser (Irene),13.06.2026 - 20.06.2026,"Palairos / Marina Paleros, Grecia","Palairos / Marina Paleros, Grecia",Greece,Ionian,Barca a vela,2011,,Bareboat,37.0,3,6,1,1700.0,,,1000.0,2805920906103987
Oceanis 393 (Hinitsa),13.06.2026 - 20.06.2026,"Corfu / Gouvia / D-Marin Marina Gouvia, Grecia","Corfu / Gouvia / D-Marin Marina Gouvia, Grecia",Greece,Ionian,Barca a vela,2004,2018,Bareboat,39.0,3,6 (6+2) Licensed for 8,2,1700.0,2000.0,"- 15,00 %",1700.0,239290470000100892
Elan Impression 344 (Argo),13.06.2026 - 20.06.2026,"Preveza Main Port, Grecia","Preveza Main Port, Grecia",Greece,Ionian,Barca a vela,2006,,Bareboat,34.0,3,6,1,1750.0,,,1000.0,2919730080000101060
Elan Impression 344 (Naftaki),13.06.2026 - 20.06.2026,"Preveza Main Port, Grecia","Preveza Main Port, Grecia",Greece,Ionian,Barca a vela,2006,,Bareboat,34.0,3,6,1,1750.0,,,1000.0,2919726630000101060
Oceanis 423 (Thalassa),13.06.2026 - 20.06.2026,"Preveza Main Port, Grecia","Preveza Main Port, Grecia",Greece,Ionian,Barca a vela,2006,2024,Bareboat,43.0,4,8,3,1827.0,2030.0,"- 10,00 %",2000.0,6340203170000107471
Elan Impression 394 (Thalia),13.06.2026 - 20.06.2026,"Corfu / Gouvia / D-Marin Marina Gouvia, Grecia","Corfu / Gouvia / D-Marin Marina Gouvia, Grecia",Greece,Ionian,Barca a vela,2012,,Bareboat,39.0,3,8 6+2,2,1850.0,2400.0,"- 22,92 %",500.0,7287968140000103502
